codigoPostal,ciudad,estadoNombreCorto
05500,Ciudad de México,Ciudad de México
05520,Ciudad de México,Ciudad de México
05530,Ciudad de México,Ciudad de México
05600,Ciudad de México,Ciudad de México
05610,Ciudad de México,Ciudad de México
05700,Ciudad de México,Ciudad de México
05710,Ciudad de México,Ciudad de México
05730,Ciudad de México,Ciudad de México
05750,Ciudad de México,Ciudad de México
05760,Ciudad de México,Ciudad de México
05780,Ciudad de México,Ciudad de México
06000,Ciudad de México,Ciudad de México
06010,Ciudad de México,Ciudad de México
06020,Ciudad de México,Ciudad de México
06030,Ciudad de México,Ciudad de México
06040,Ciudad de México,Ciudad de México
06050,Ciudad de México,Ciudad de México
06060,Ciudad de México,Ciudad de México
06070,Ciudad de México,Ciudad de México
06080,Ciudad de México,Ciudad de México
06090,Ciudad de México,Ciudad de México
06100,Ciudad de México,Ciudad de México
06140,Ciudad de México,Ciudad de México
06170,Ciudad de México,Ciudad de México
06200,Ciudad de México,Ciudad de México
06220,Ciudad de México,Ciudad de México
06240,Ciudad de México,Ciudad de México
06250,Ciudad de México,Ciudad de México
06270,Ciudad de México,Ciudad de México
06280,Ciudad de México,Ciudad de México
06300,Ciudad de México,Ciudad de México
06350,Ciudad de México,Ciudad de México
06400,Ciudad de México,Ciudad de México
06430,Ciudad de México,Ciudad de México
06450,Ciudad de México,Ciudad de México
06470,Ciudad de México,Ciudad de México
06500,Ciudad de México,Ciudad de México
06600,Ciudad de México,Ciudad de México
06700,Ciudad de México,Ciudad de México
06720,Ciudad de México,Ciudad de México
06760,Ciudad de México,Ciudad de México
06780,Ciudad de México,Ciudad de México
06800,Ciudad de México,Ciudad de México
06820,Ciudad de México,Ciudad de México
06840,Ciudad de México,Ciudad de México
06850,Ciudad de México,Ciudad de México
06860,Ciudad de México,Ciudad de México
06870,Ciudad de México,Ciudad de México
06880,Ciudad de México,Ciudad de México
06890,Ciudad de México,Ciudad de México
06900,Ciudad de México,Ciudad de México
06920,Ciudad de México,Ciudad de México
07000,Ciudad de México,Ciudad de México
07010,Ciudad de México,Ciudad de México
07020,Ciudad de México,Ciudad de México
07040,Ciudad de México,Ciudad de México
07050,Ciudad de México,Ciudad de México
07058,Ciudad de México,Ciudad de México
07060,Ciudad de México,Ciudad de México
07069,Ciudad de México,Ciudad de México
07070,Ciudad de México,Ciudad de México
07080,Ciudad de México,Ciudad de México
07089,Ciudad de México,Ciudad de México
07090,Ciudad de México,Ciudad de México
07100,Ciudad de México,Ciudad de México
07109,Ciudad de México,Ciudad de México
07110,Ciudad de México,Ciudad de México
07119,Ciudad de México,Ciudad de México
07130,Ciudad de México,Ciudad de México
07140,Ciudad de México,Ciudad de México
07144,Ciudad de México,Ciudad de México
07149,Ciudad de México,Ciudad de México
07150,Ciudad de México,Ciudad de México
07160,Ciudad de México,Ciudad de México
07164,Ciudad de México,Ciudad de México
07170,Ciudad de México,Ciudad de México
07180,Ciudad de México,Ciudad de México
07183,Ciudad de México,Ciudad de México
07187,Ciudad de México,Ciudad de México
07188,Ciudad de México,Ciudad de México
